TipoDieta,Dia,Comida1,Comida2,Comida3,Comida4,Comida5
1,Lunes,Dos claras de huevo fritas y una rodaja de pan integral,Una taza de avena con agua,2 pechugas de pollo,1 lata de atún con aceite de oliva y unas galletas tostadas,Sopa de frijoles con crema y tortilla
1,Martes,Yogur bajo en grasa con frutas mixtas,Un puñado de almendras,Ensalada de pollo a la parrilla con verduras,Una manzana,Pechuga de pollo a la parrilla con brócoli al vapor
1,Miércoles,Tortilla de claras de huevo con espinacas y champiñones,Una porción de salmón a la parrilla con brócoli al vapor,Un batido de proteínas con espinacas y leche de almendras,Una pera,Pollo asado con ensalada de aguacate y pepino
1,Jueves,Batido de proteínas con espinacas, plátano y leche de almendras,Filete de pavo al horno con batata al horno y espárragos,Un puñado de nueces,Ensalada de atún con garbanzos y espinacas
1,Viernes,Taza de avena con frutas,Brócoli al vapor con pechuga de pollo a la parrilla,Un puñado de almendras,Ensalada de salmón y aguacate,Sopa de frijoles con crema y tortilla
1,Sábado,Batido de proteínas con espinacas, plátano y leche de almendras,Pechuga de pollo a la parrilla con vegetales asados,Una manzana,Ensalada de lentejas con espinacas y tomates cherry
1,Domingo,Tazón de yogur bajo en grasa con frutas mixtas,Filete de pescado al horno con espárragos y quinua,Un puñado de nueces,Pollo asado con batata y brócoli al vapor,Pollo asado con ensalada de aguacate y pepino
2,Lunes,Tazón de avena con plátano y nueces,Un puñado de almendras,Pollo asado con batata y brócoli al vapor,Un batido de proteínas con espinacas y leche de almendras,Pasta con salsa de carne y verduras
2,Martes,Tostadas integrales con aguacate y huevo,Una porción de yogur con miel y frutas,Ensalada de atún con garbanzos y espinacas,Una manzana,Filete de salmón al horno con arroz integral y espárragos
2,Miércoles,Tortilla de huevo con espinacas y champiñones,Una porción de nueces,Pollo a la parrilla con quinua y verduras asadas,Un batido de proteínas con espinacas y leche de almendras,Lasaña de carne con ensalada
2,Jueves,Batido de proteínas con plátano y mantequilla de cacahuete,Un tazón de arroz con pollo y vegetales,Un puñado de almendras,Ensalada de pollo con aguacate y espinacas,Chuletas de cerdo con puré de papas y brócoli
2,Viernes,Tostadas integrales con aguacate y huevo,Una porción de yogur con miel y frutas,Ensalada de lentejas con espinacas y tomates cherry,Una manzana,Filete de res a la parrilla con arroz y espárragos
2,Sábado,Tazón de avena con plátano y nueces,Un puñado de almendras,Pollo a la parrilla con quinua y verduras asadas,Un batido de proteínas con espinacas y leche de almendras,Pasta con salsa de carne y verduras
2,Domingo,Tortilla de huevo con espinacas y champiñones,Una porción de nueces,Pollo asado con batata y brócoli al vapor,Un batido de proteínas con espinacas y leche de almendras,Lasaña de carne con ensalada
3,Lunes,Tazón de avena con frutas mixtas y nueces,Un puñado de zanahorias baby con hummus,Ensalada de quinua con garbanzos, aguacate y espinacas,Un yogur bajo en grasa con miel
3,Martes,Tostadas integrales con aguacate y huevo,Una porción de yogur con frutas frescas,Pollo asado con brócoli al vapor y quinua,Un batido de proteínas con espinacas y leche de almendras,Ensalada de salmón y aguacate
3,Miércoles,Tortilla de claras de huevo con espinacas y champiñones,Una porción de nueces,Ensalada de pollo con espinacas, tomate cherry y nueces,Una manzana
3,Jueves,Batido de proteínas con espinacas, plátano y leche de almendras,Una porción de palitos de apio con queso crema bajo en grasa,Ensalada de atún con garbanzos y espinacas,Un yogur bajo en grasa con miel
3,Viernes,Tazón de avena con frutas mixtas y nueces,Un puñado de almendras,Ensalada de lentejas con espinacas y tomates cherry,Una pera,Pechuga de pollo a la parrilla con verduras asadas
3,Sábado,Tostadas integrales con aguacate y huevo,Una porción de yogur con frutas frescas,Pollo asado con brócoli al vapor y arroz integral,Un batido de proteínas con espinacas y leche de almendras,Ensalada de salmón y aguacate
3,Domingo,Tortilla de claras de huevo con espinacas y champiñones,Una porción de nueces,Ensalada de quinua con garbanzos, aguacate y espinacas,Un yogur bajo en grasa con miel
4,Lunes,Batido de proteínas con avena, plátano y espinacas,Un puñado de nueces,Pollo a la parrilla con quinua y verduras asadas,Una manzana
4,Martes,Tostadas integrales con aguacate y huevo,Una porción de yogur griego con frutas frescas,Carne magra a la parrilla con batata y brócoli al vapor,Un batido de proteínas con espinacas y leche de almendras,Ensalada de pollo con aguacate y espinacas
4,Miércoles,Tortilla de claras de huevo con espinacas y champiñones,Una porción de almendras,Salmón al horno con quinua y espárragos,Una manzana,Filete de res a la parrilla con batata al horno y brócoli
4,Jueves,Batido de proteínas con plátano y mantequilla de cacahuete,Una porción de palitos de apio con queso crema bajo en grasa,Pollo a la parrilla con arroz integral y vegetales,Un puñado de nueces,Ensalada de atún con garbanzos y espinacas
4,Viernes,Tazón de avena con frutas mixtas y nueces,Un puñado de almendras,Ensalada de lentejas con espinacas y tomates cherry,Una pera,Pollo asado con vegetales asados y quinua
4,Sábado,Batido de proteínas con avena, plátano y espinacas,Un puñado de nueces,Pollo a la parrilla con quinua y verduras asadas,Una manzana
4,Domingo,Tostadas integrales con aguacate y huevo,Una porción de yogur griego con frutas frescas,Carne magra a la parrilla con batata y brócoli al vapor,Un batido de proteínas con espinacas y leche de almendras,Ensalada de pollo con aguacate y espinacas1,lunes,pez,pollo,carne,sapo,agua
A,martes,sopa,pez,carne,verdura,fruta
